Left,Right,Count
10.0,12.46,16534
12.46,14.92,13199
14.92,17.38,22458
17.38,19.84,16307
19.84,22.3,25626
22.3,24.759999999999998,17786
24.759999999999998,27.22,27886
27.22,29.68,17498
29.68,32.14,24670
32.14,34.6,17329
34.6,37.06,25758
37.06,39.519999999999996,16171
39.519999999999996,41.980000000000004,16541
41.980000000000004,44.44,26854
44.44,46.9,17443
46.9,49.36,25867
49.36,51.82,18228
51.82,54.28,28606
54.28,56.74,19238
56.74,59.2,28836
59.2,61.66,20453
61.66,64.12,31330
64.12,66.58,20934
66.58,69.03999999999999,29723
69.03999999999999,71.5,20055
71.5,73.96000000000001,19866
73.96000000000001,76.42,29471
76.42,78.88,19745
78.88,81.34,28052
81.34,83.8,18582
83.8,86.26,28087
86.26,88.72,18673
88.72,91.17999999999999,28273
91.17999999999999,93.64,17940
93.64,96.1,26878
96.1,98.56,17854
98.56,101.02,26895
101.02,103.48,18000
103.48,105.94,17923
105.94,108.4,25576
108.4,110.86,16956
110.86,113.32,25852
113.32,115.78,17280
115.78,118.24,25438
118.24,120.7,17058
120.7,123.16,24736
123.16,125.62,16471
125.62,128.07999999999998,24592
128.07999999999998,130.54,16242
130.54,133.0,16368
133.0,135.45999999999998,24697
135.45999999999998,137.92000000000002,16097
137.92000000000002,140.38,23940
140.38,142.84,15568
142.84,145.3,23748
145.3,147.76,15877
147.76,150.22,23828
150.22,152.68,15796
152.68,155.14,23025
155.14,157.6,15211
157.6,160.06,22856
160.06,162.52,15426
162.52,164.98,15392
164.98,167.44,22895
167.44,169.9,15449
169.9,172.35999999999999,22648
172.35999999999999,174.82,14883
174.82,177.28,22446
177.28,179.74,14878
179.74,182.2,22515
182.2,184.66,14855
184.66,187.12,22183
187.12,189.57999999999998,14801
189.57999999999998,192.04,22162
192.04,194.5,14568
194.5,196.96,14557
196.96,199.42,21838
199.42,201.88,14613
201.88,204.34,21880
204.34,206.8,14585
206.8,209.26,21713
209.26,211.72,14192
211.72,214.18,20909
214.18,216.64,14132
216.64,219.1,21090
219.1,221.56,14294
221.56,224.02,21130
224.02,226.48,14208
226.48,228.94,14387
228.94,231.4,21279
231.4,233.85999999999999,13687
233.85999999999999,236.32,20628
236.32,238.78,13934
238.78,241.24,20523
241.24,243.7,13853
243.7,246.16,20691
246.16,248.62,13778
248.62,251.07999999999998,20302
251.07999999999998,253.54,13699
253.54,256.0,20216
